一种服务器备用电源及服务器电源	0.328635 -0.712027 -1.425405 -2.479352 3.604351 -0.005743 0.293046 -2.431364 1.293743 -0.580301 -1.579114 -2.124257 2.469023 0.103409 0.416527 0.293604 -1.384104 -0.689004 -0.380786 -0.332958 0.561409 1.861233 0.080481 -0.998947 1.301713 0.281687 -0.046045 -2.392401 1.051335 0.646268 0.602689 -0.401545
一种基于多维度生理信息的心脏健康监护系统	0.476909 -0.081641 -1.701668 -1.724491 0.412035 0.800190 -0.261180 -0.119271 1.674254 1.487973 -0.124428 -0.390290 -0.795238 -0.326476 -0.766503 1.667178 0.081891 -0.198519 -1.098992 -1.872260 0.320800 0.904927 -0.271025 0.418596 0.143881 -0.097065 0.135924 0.022390 -1.538525 1.217983 0.081836 -0.023845
一种消除直流失调电压全差分运算放大器电路	-0.095456 0.288621 -2.915378 -1.868981 -0.313272 2.869669 -2.566139 -2.253030 -1.432828 2.640760 0.781486 -0.446170 1.038277 -1.762155 1.547653 -0.401630 -0.307732 -1.996450 0.950925 -2.387948 0.216794 -2.750743 1.311946 1.235526 -3.264305 1.337862 -1.896665 -2.023325 -2.107728 -0.335312 -0.448455 0.604734
引脚编码模式选择系统	0.201454 1.867698 -0.085316 -0.148409 -0.302522 -0.138839 -0.604890 1.797545 -1.338126 -2.542591 0.176776 0.779867 -1.386067 0.773918 1.127532 0.279102 1.673441 1.691003 0.861449 -2.469839 -1.557064 -1.685411 -1.029047 0.483246 0.768892 -1.424109 0.443276 0.441366 0.451853 -1.065457 -0.334034 -0.728162
立式磨专用齿轮油、加工方法和装置	-0.960079 -0.032591 0.995445 1.795228 -0.157225 1.093691 0.244014 -0.920374 1.620342 1.326030 -0.700295 -0.835673 -0.326512 0.193883 0.914856 -0.700165 -1.213827 0.266522 -0.702353 1.476208 1.281674 0.419744 -0.293165 1.840564 -1.090406 -0.049720 -0.441258 0.368304 0.019010 0.825617 0.441012 0.971025
一种备电保护的控制方法、系统及相关组件	0.531854 1.134226 0.350061 -0.538090 -0.283136 -0.044788 0.517107 1.268182 -1.334094 -1.136248 0.470444 -0.127590 -0.256667 0.852104 1.805167 -0.761457 0.371513 0.698365 0.168057 -0.422223 -1.161654 -1.648105 -0.999095 0.156474 1.489780 -2.057981 -0.242155 0.316544 0.471447 -1.238083 0.527980 -0.246814
基于运算放大器的低噪声精密放大电路及其性能改进方法	1.035289 -1.417197 0.048702 -2.412993 1.184592 -0.964568 -0.294345 0.348294 3.546803 -1.722797 -0.986414 -3.889602 1.660159 2.743153 3.658544 -1.003634 -2.855206 1.230283 -0.860107 2.906900 -2.622402 -2.357991 -0.514750 1.842675 0.066993 -2.918295 1.382478 0.137901 0.059029 0.948285 1.766762 0.210879
一种基于ECG信号的睡眠自动分期方法	-0.877233 1.501412 0.374752 1.363756 0.486471 1.416319 -0.710835 -0.333331 -0.516954 1.368602 0.037498 -0.356694 -0.642642 -0.566927 0.435018 -0.519332 1.100509 -0.287789 -0.525521 0.637571 -0.394538 -0.580845 0.894710 -0.000202 0.483502 -1.389700 1.255861 0.026009 0.035232 0.332549 -0.303285 0.388882
单端转差分放大器和射频接收机	-0.570601 -0.612959 -1.161134 -1.942989 -1.969611 0.107561 -3.510903 -0.115188 1.297798 0.869579 0.511576 -0.417464 -0.602814 -2.223602 1.759521 0.135845 -0.929015 -0.058319 -1.989766 -3.752335 -0.754090 -0.817747 -0.550174 1.084384 -2.077686 0.545049 -0.937403 0.588486 -1.639742 1.879617 0.239026 -0.682852
润滑油基础油、含有该润滑油基础油的润滑油组合物和使用了该润滑油组合物的无级变速器	-0.984160 1.535060 -2.046013 2.390201 -0.972001 -2.094700 -0.135037 0.469939 1.106530 3.820961 -0.349715 -1.996044 -0.399666 -1.982462 3.862696 -2.108689 -3.138034 -0.556833 -0.106496 3.517750 -0.801280 -0.836471 0.734981 3.495962 -2.892560 -2.497036 -0.441651 0.452069 -2.874421 3.156912 0.126514 1.616978
配合二氟甲烷制冷剂使用的冷冻机油组合物及其应用	-4.742784 1.741998 0.579699 1.330987 -1.186788 1.635026 -2.151325 1.652617 0.817065 1.287200 2.691634 -1.890039 -1.407021 -1.303667 -0.271656 -0.959673 -0.348497 0.114785 1.359544 0.776173 -0.507165 -0.902886 -0.878984 2.626343 -2.015147 0.950271 0.107792 0.162058 1.687740 0.243399 -0.416159 0.363411
一种可控增益带通滤波放大电路及自动增益控制方法	0.282179 -1.372081 -1.604462 -2.895398 -0.937932 -2.438163 -1.893180 1.088494 -0.574074 0.294137 1.615626 0.499813 -0.169975 -0.225700 1.147988 0.718832 -1.935917 1.376989 -0.628220 1.034939 -0.047651 -1.084304 0.573887 0.047028 -1.694585 -0.114901 -0.442922 -0.458520 0.202355 1.794819 -0.847751 0.066857
超宽带低噪声放大器	0.216835 -0.234907 -3.701757 -0.967696 1.502061 0.891394 -0.667920 -0.258226 0.748478 1.929853 0.378197 -1.740716 1.842197 -0.414343 1.189618 -1.097685 -0.661262 0.369005 0.030507 0.930592 0.200835 0.684377 -0.656681 2.189857 -3.779096 -1.093201 -1.165281 -0.407897 -0.207193 0.856776 0.193723 1.319232
D类功率放大器电路	0.550728 -0.315450 -3.653986 1.970271 1.710161 -2.005342 -2.299793 1.614479 -2.022695 -6.145560 1.534584 0.776215 -2.341450 -0.600470 4.573230 -2.217196 -3.544842 1.109139 3.502216 2.682958 1.464124 3.833994 -0.529017 0.457900 -2.170254 0.009474 -1.592435 -0.973204 -0.924557 -0.557568 -1.280574 -4.783520
粘度指数改进剂组合物和润滑油组合物	-0.461596 0.598971 0.767644 0.838060 0.175315 -2.074987 0.411997 -0.559674 0.780879 2.110334 -0.274826 -2.719593 0.209557 0.465737 2.231752 -1.214085 -1.983007 1.588479 1.137393 0.414613 -2.149889 1.311278 -0.074970 0.219927 -2.335528 -1.345347 -1.700287 -1.748334 0.291222 1.356887 2.540748 0.570254
一种心电图的诊断结论自动诊断方法及系统	-2.225894 1.433069 1.030820 -0.001598 -0.923640 0.275957 -0.519422 0.456114 1.221215 1.858926 1.056564 0.744763 -1.044436 0.578836 -2.172925 0.500891 -0.606703 -0.070483 -0.059474 -1.154264 -2.275118 -0.897333 -0.030483 0.130348 2.113997 -0.531891 0.577042 -1.195298 -1.563575 0.244162 -0.582407 -1.195052
基于形态学滤波和小波阈值的心电异常判别系统及方法	1.834299 -1.307891 0.436617 -1.345417 0.696717 -0.021390 0.919212 0.210276 1.310258 2.484167 -0.111898 -0.080822 -0.201277 1.148194 1.365887 -0.518263 -0.293590 0.110569 1.200411 0.103770 -0.766010 1.484034 0.342116 -1.389259 0.415075 1.586399 -0.271119 -1.212989 -2.360165 0.691566 2.511827 -0.358971
安全控制器	0.199105 0.524879 -0.557729 0.265488 -0.928380 -0.230471 -0.040534 0.247411 -1.346807 -0.764059 0.574082 0.960168 -0.063005 -0.148915 -0.148284 0.210868 0.212492 -0.214966 -0.158886 -0.263111 0.085464 -1.582573 -0.363261 -0.201972 -0.217539 -0.180393 -0.315692 0.543955 0.203542 -0.088526 -0.630071 -0.449614
基于图卷积神经网络和迭代阈值收缩算法的心脏跨膜电位重建方法	2.537652 0.849412 -1.764800 1.374391 0.993290 2.139814 -1.545423 -1.811406 0.550272 1.506003 -1.094214 -0.042820 1.868964 -0.521064 -1.420320 1.820286 1.706768 -0.164085 0.230542 1.014369 0.944697 0.713988 0.118341 0.479603 -0.961977 -1.781275 -1.823069 0.728122 1.882452 -1.081498 0.170303 0.281889
一种分类方法、系统、电子设备及存储介质	-0.348120 -0.258912 -0.508229 0.637883 -0.122613 -1.667642 0.017708 0.451692 -0.756982 -1.262150 1.690980 -1.113364 -0.456983 -0.466301 0.959255 0.857578 0.977238 0.543395 -1.035041 0.310879 -2.129757 -2.482668 -0.016714 -0.661556 0.180397 -0.636244 0.890254 -0.543474 1.763183 -0.075128 -0.198589 -0.228339
一种降低计算机主板待机功耗的控制方法、电路及其系统	0.257075 2.170192 -0.383814 -1.183882 -0.366682 -0.100220 -1.151656 0.267476 -0.795295 0.211095 -2.457083 -0.426962 0.217200 0.626818 1.316310 -0.127230 0.787000 -0.822091 0.502454 -2.060472 1.153563 0.232765 0.067844 0.549157 -0.004586 -2.562324 -0.295747 -2.570658 0.538994 -0.829720 0.942607 0.392422
一种快速筛选具有临床诊断价值的心电图的方法与装置	0.903441 0.672808 -0.286444 1.819309 -0.439747 0.259319 0.184539 -0.612423 -2.059977 -1.209598 0.961233 0.803101 1.328210 -1.298868 -0.117381 1.948198 1.249999 0.928231 -0.133067 -0.942263 -2.048769 -0.089287 -2.306636 -1.084948 1.062572 0.028083 -0.721056 -0.681983 0.147850 -0.460325 -1.155291 -0.363784
