一种服务器备用电源及服务器电源	0.19569842517375946 -0.04079701378941536 0.27555403113365173 0.09335998445749283 0.17667478322982788 -0.3290666937828064 -0.08301132917404175 -0.08185305446386337 0.17342129349708557 0.24664901196956635 0.10889046639204025 0.1330438256263733 0.43338993191719055 -0.2677411437034607 0.15202490985393524 -0.17269831895828247 -0.002026651054620743 0.1261053830385208 -0.1634863018989563 -0.3939295709133148 -0.6789089441299438 0.19953781366348267 -0.10398790240287781 0.11610749363899231 -0.43063297867774963 -0.24843406677246094 0.0013100506039336324 0.06614834815263748 0.12474387139081955 -0.03203509375452995 0.25765618681907654 -0.48063480854034424
一种基于多维度生理信息的心脏健康监护系统	-0.11363907158374786 -0.15693730115890503 -0.1479770392179489 -0.04162924736738205 -0.15444982051849365 -0.10329830646514893 0.06129350885748863 -0.018951425328850746 0.03660940006375313 0.059891633689403534 -0.12983180582523346 -0.02563958242535591 -0.009440409019589424 0.1994815617799759 -0.226920023560524 -0.057720381766557693 0.16500253975391388 0.20311856269836426 0.18613474071025848 0.059126365929841995 0.258776992559433 -0.05572972819209099 0.020774133503437042 0.0018722766544669867 0.04558651149272919 0.3741178810596466 -0.009248738177120686 -0.10404986888170242 0.02774021402001381 -0.0067969681695103645 -0.049404896795749664 -0.05940597504377365
一种消除直流失调电压全差分运算放大器电路	0.05016079545021057 -0.020597657188773155 -0.049239225685596466 -0.1464194655418396 -0.15281032025814056 -0.3129824101924896 0.15654398500919342 0.0010945340618491173 -0.11261563748121262 -0.10159393399953842 -0.1531820446252823 0.25303325057029724 0.031527142971754074 -0.1017044186592102 0.08635628968477249 -0.09735097736120224 -0.09082882106304169 -0.0578305758535862 -0.2741418182849884 -0.34390729665756226 0.14143504202365875 -0.029021959751844406 -0.2756003439426422 0.09821941703557968 0.25395336747169495 0.07639341801404953 0.04177825152873993 -0.10872860997915268 -0.16840185225009918 0.21707089245319366 0.3010560870170593 -0.05764258652925491
引脚编码模式选择系统	-0.14712871611118317 -0.11835131794214249 0.24298834800720215 0.014348724856972694 0.26234084367752075 0.21847271919250488 0.007131143473088741 0.0446329228579998 -0.3114415407180786 0.0780058205127716 -0.06400947272777557 0.2360624223947525 0.19909732043743134 -0.556579053401947 0.014489494264125824 -0.007236927282065153 0.06031932309269905 0.24020208418369293 0.10718810558319092 -0.0670507401227951 -0.3344767987728119 0.010584987699985504 -0.03040533885359764 -0.09975191205739975 -0.13600751757621765 -0.2291012853384018 -0.3171561360359192 -0.0915108174085617 -0.05021931976079941 0.02100607007741928 -0.1863251030445099 0.10718098282814026
立式磨专用齿轮油、加工方法和装置	-0.08817094564437866 -0.29773104190826416 0.009066009894013405 -0.00769050233066082 -0.03647444769740105 -0.10501612722873688 -0.10238716006278992 -0.04463215917348862 0.22251270711421967 -0.2347135841846466 -0.03720294311642647 0.3874615728855133 0.28197792172431946 -0.1932201385498047 -0.1042974516749382 0.046727925539016724 0.09004402160644531 0.2855724096298218 0.023547742515802383 0.14451488852500916 -0.24896980822086334 0.1013026311993599 -0.15230809152126312 -0.05903303250670433 -0.09803762286901474 0.18599790334701538 -0.48017972707748413 0.03262532502412796 -0.10045286267995834 -0.11844319105148315 -0.11825340241193771 -0.0054091583006083965
一种备电保护的控制方法、系统及相关组件	-0.11177823692560196 0.3385085463523865 -0.04245208203792572 -0.13867223262786865 0.09950229525566101 0.07358898222446442 -0.03389529511332512 -0.030387822538614273 0.06815894693136215 -0.3755156695842743 -0.17359621822834015 -0.25437891483306885 -0.2503637671470642 0.1657668650150299 -0.09423525631427765 0.3546876907348633 -0.052428968250751495 0.20905131101608276 0.057005636394023895 0.47330442070961 -0.3157676160335541 0.22296684980392456 -0.018984775990247726 -0.015331028960645199 -0.0024103140458464622 -0.07039002329111099 -0.3328087329864502 -0.43324750661849976 -0.1103903204202652 -0.048552315682172775 -0.0016200295649468899 -0.23122334480285645
基于运算放大器的低噪声精密放大电路及其性能改进方法	0.07765648514032364 0.19699691236019135 -0.204545795917511 -0.275677889585495 -0.31556323170661926 -0.1796649843454361 0.04763948544859886 -0.04122216999530792 0.2680817246437073 -0.04546748846769333 0.15078723430633545 0.14005057513713837 -0.42452725768089294 0.15728777647018433 -0.18607579171657562 0.38703805208206177 -0.03045806847512722 -0.10948842763900757 0.48582157492637634 -0.13159799575805664 0.24849861860275269 0.05414188280701637 0.16448719799518585 -0.15578784048557281 -0.28337401151657104 0.026138698682188988 -0.025316491723060608 -0.028477739542722702 0.12814681231975555 0.000455871457234025 -0.15396155416965485 0.30164867639541626
一种基于ECG信号的睡眠自动分期方法	-0.03300875052809715 -0.05796290561556816 -0.14537717401981354 0.07304395735263824 0.08970236033201218 0.0328141413629055 -0.02446483075618744 0.05366375669836998 -0.19921047985553741 0.015510153025388718 -0.029805002734065056 0.40261662006378174 -0.5142427086830139 -0.032990556210279465 0.23696091771125793 -0.07932286709547043 0.08036183565855026 -0.10459350049495697 0.17418228089809418 0.03649801015853882 0.14673157036304474 0.15786677598953247 0.006389218382537365 0.15436425805091858 -0.11070363968610764 -0.0693395659327507 0.0722033828496933 0.09734433144330978 -0.06487120687961578 0.21737562119960785 -0.09533410519361496 0.13206146657466888
单端转差分放大器和射频接收机	0.005891582928597927 -0.16401058435440063 0.03419838845729828 -0.12447299063205719 -0.05451439321041107 -0.5812692046165466 -0.2615230083465576 -0.033877041190862656 -0.015242213383316994 0.225287526845932 -0.3017386794090271 -0.040381092578172684 -0.13587410748004913 -0.005033665336668491 -0.6584243178367615 0.03903724253177643 -0.10964429378509521 0.4991702139377594 0.1328245997428894 0.4858526587486267 0.2158779501914978 0.2871682047843933 -0.1906786859035492 -0.08248018473386765 0.25307682156562805 0.020785005763173103 -0.332828164100647 0.040024533867836 0.07411771267652512 -0.14106282591819763 0.1782446652650833 -0.16391071677207947
润滑油基础油、含有该润滑油基础油的润滑油组合物和使用了该润滑油组合物的无级变速器	0.17964433133602142 0.11916044354438782 -0.06689359992742538 -0.1491113007068634 -0.09789881855249405 -0.08654060959815979 0.03384704142808914 0.033396851271390915 -0.29583314061164856 -0.060309648513793945 -0.03759871795773506 0.07499035447835922 0.04095350205898285 0.26539039611816406 -0.2535708248615265 0.04659673944115639 0.07484031468629837 0.37733206152915955 0.04060075059533119 -0.3086492419242859 0.13036887347698212 -0.021203508600592613 -0.09129584580659866 0.044697098433971405 -0.01607414335012436 -0.07014521956443787 0.2893858253955841 -0.19750015437602997 -0.06674119830131531 0.058847539126873016 0.11530333757400513 -0.030104797333478928
配合二氟甲烷制冷剂使用的冷冻机油组合物及其应用	0.015532363206148148 0.18714144825935364 0.020442022010684013 -0.26004156470298767 -0.07096125930547714 0.0674043595790863 0.011631905101239681 0.039640843868255615 0.2734808623790741 -0.05096307769417763 0.006479029078036547 -0.15031254291534424 0.0750860646367073 -0.19272774457931519 -0.17599745094776154 0.22056405246257782 -0.30535799264907837 0.48745718598365784 -0.11616960167884827 -0.15517614781856537 -0.08282484114170074 -0.18393723666667938 -0.34357815980911255 0.1461624801158905 -0.19180865585803986 -0.2842867970466614 0.1919538527727127 -0.4487683176994324 0.133175328373909 0.10273277759552002 0.03527024760842323 -0.18146024644374847
一种可控增益带通滤波放大电路及自动增益控制方法	-0.24511943757534027 -0.10573834925889969 0.04521762579679489 -0.03313266858458519 0.21804489195346832 0.03715325519442558 -0.28829243779182434 0.02357342839241028 0.051337890326976776 0.12651075422763824 0.10240642726421356 -0.07310907542705536 -0.07825282961130142 -0.10379619151353836 0.2957652509212494 -0.18061663210391998 0.2683475613594055 -0.2686140537261963 0.0047312211245298386 -0.08141499012708664 0.11510171741247177 0.32053083181381226 0.45122385025024414 0.07174647599458694 -0.0039503611624240875 -0.08274728804826736 -0.310508668422699 0.025981608778238297 -0.30562180280685425 -0.0064685652032494545 0.12406737357378006 0.16562946140766144
超宽带低噪声放大器	-0.06392017006874084 -0.22921015322208405 0.039461731910705566 0.16956737637519836 0.09013346582651138 -0.022066906094551086 -0.3131466209888458 0.03667048364877701 -0.3402843773365021 0.030833186581730843 0.016388066112995148 0.03405991569161415 0.3216833770275116 0.2965293228626251 -0.11082115024328232 -0.4978228211402893 0.13674244284629822 0.5315974354743958 -0.21955452859401703 -0.263920396566391 0.3716643750667572 -0.12168142944574356 -0.20307330787181854 -0.14079201221466064 -0.06611562520265579 0.30371204018592834 0.16176444292068481 -0.1103333830833435 -0.27527916431427 -0.05621210113167763 -0.2514287233352661 0.1508561223745346
D类功率放大器电路	0.011409849859774113 0.02251054160296917 -0.1075667068362236 -0.015483465977013111 0.05700163543224335 0.03833773359656334 -0.09295987337827682 -0.018146563321352005 -0.03941476717591286 0.015598899684846401 0.01872185990214348 0.17713753879070282 0.23494265973567963 0.054420679807662964 -0.08893715590238571 0.27042457461357117 0.033355358988046646 0.10583659261465073 -0.000784462783485651 -0.024794356897473335 -0.32665836811065674 0.05684090778231621 -0.026741664856672287 -0.1363423615694046 -0.020544832572340965 0.04488549754023552 -0.11934244632720947 0.047070518136024475 -0.09679441154003143 -0.15691699087619781 0.0669250562787056 -0.09286627173423767
粘度指数改进剂组合物和润滑油组合物	0.07266060262918472 0.06382009387016296 -0.024330977350473404 0.05963769555091858 0.015417594462633133 0.16512559354305267 0.17758823931217194 0.06053725630044937 0.24249202013015747 -0.207380011677742 0.05609280243515968 0.2309255450963974 0.3047443628311157 0.10537867993116379 -0.20203299820423126 0.12995003163814545 -0.14211589097976685 -0.23654696345329285 -0.06441190093755722 0.16542983055114746 -0.10187254846096039 0.1193242147564888 0.16409780085086823 0.22501955926418304 0.0069715771824121475 0.06438016891479492 0.05080174282193184 -0.03849022462964058 0.022215338423848152 0.03872613236308098 -0.0696692168712616 0.1865292340517044
一种心电图的诊断结论自动诊断方法及系统	0.05861865356564522 -0.10079538822174072 -0.04904665797948837 0.0646282359957695 0.1830735057592392 -0.20542609691619873 0.1009650006890297 0.02068093791604042 -0.12222976237535477 0.2115444540977478 -0.18704716861248016 -0.2121877521276474 0.026177065446972847 -0.188286691904068 -0.026246095076203346 -0.14378060400485992 0.07512342184782028 0.32810598611831665 0.1719483733177185 0.10903745144605637 -0.23330415785312653 0.19177313148975372 0.09213851392269135 -0.1328762322664261 -0.07453561574220657 -0.062116462737321854 -0.020428583025932312 -0.04405006393790245 -0.09493808448314667 0.14271192252635956 -0.03820047155022621 0.07453737407922745
基于形态学滤波和小波阈值的心电异常判别系统及方法	-0.012061135843396187 0.4600369334220886 -0.020803920924663544 -0.48764050006866455 -0.14300480484962463 -0.02065514214336872 0.04327090457081795 -0.09403666853904724 0.5360265970230103 0.10257145017385483 0.0767255499958992 -0.1690703183412552 -0.12580327689647675 -0.3515808880329132 0.045015621930360794 0.4120137393474579 0.20267751812934875 0.19419482350349426 -0.03626637905836105 0.04142458736896515 0.31283366680145264 -0.021547354757785797 0.07956523448228836 -0.23433439433574677 -0.03707467392086983 -0.24058853089809418 -0.04268231242895126 -0.06617774814367294 0.06337248533964157 0.15106303989887238 -0.1600741147994995 0.17449802160263062
安全控制器	0.23541803658008575 0.053094349801540375 0.231766477227211 0.061834048479795456 0.017413293942809105 -0.210733100771904 0.01973530650138855 0.07898478955030441 -0.08246126770973206 0.046744879335165024 -0.11939174681901932 0.07500162720680237 0.262939989566803 0.12518680095672607 -8.672953117638826e-05 -0.4930683374404907 -0.013226822949945927 0.4596920907497406 -0.03644581139087677 -0.21310462057590485 -0.23969979584217072 -0.25944897532463074 -0.1856522262096405 -0.2152981162071228 -0.06592404842376709 -0.48688405752182007 -0.1579013466835022 0.37924742698669434 -0.028519582003355026 -0.0010474296286702156 -0.047921910881996155 -0.03342001140117645
基于图卷积神经网络和迭代阈值收缩算法的心脏跨膜电位重建方法	-0.13513965904712677 0.031953588128089905 0.12742683291435242 0.26203644275665283 0.10828525573015213 0.1163599044084549 -0.02728874608874321 -0.0064988103695213795 -0.18508103489875793 -0.27172014117240906 -0.23650091886520386 0.23403462767601013 0.07193935662508011 -0.030115198343992233 -0.1774010807275772 -0.2018764466047287 -0.012574959546327591 -0.12894147634506226 0.03686899691820145 0.20195046067237854 -0.150948628783226 0.19992785155773163 -0.09064117819070816 -0.09521127492189407 -0.22479242086410522 -0.2394898235797882 -0.12311676889657974 -0.0013966611586511135 -0.08845549821853638 -0.14037065207958221 -0.20735953748226166 0.04990353062748909
一种分类方法、系统、电子设备及存储介质	-0.03284727782011032 0.17422540485858917 0.19559726119041443 -0.12334907054901123 0.19037547707557678 -0.007561389356851578 -0.15993939340114594 -0.07722526043653488 0.3647089898586273 -0.16520215570926666 -0.0810716450214386 0.2820502817630768 0.18280218541622162 -0.010775177739560604 0.12058307230472565 -0.07341112196445465 -0.08321807533502579 -0.0013818977167829871 0.10781490802764893 -0.10298846662044525 -0.3738093078136444 0.33772173523902893 0.008840551599860191 0.009369323961436749 0.03702237457036972 0.2019653022289276 -0.3045196235179901 -0.06060101464390755 0.06863755732774734 -0.1569214165210724 0.3074598014354706 -0.2171783298254013
一种降低计算机主板待机功耗的控制方法、电路及其系统	0.07899769395589828 0.17739906907081604 -0.01136668212711811 -0.00463126040995121 0.03208788111805916 -0.10083972662687302 -0.14552582800388336 0.034617830067873 -0.1168813481926918 0.09500015527009964 -0.07005327939987183 0.1527928113937378 -0.04737340286374092 0.1959502100944519 -0.023147426545619965 0.14841541647911072 -0.04074825346469879 0.13093449175357819 0.003334003034979105 0.07393703609704971 -0.32485735416412354 0.028842885047197342 -0.07753269374370575 -0.020372487604618073 0.04745488986372948 0.09005334973335266 0.042255762964487076 0.19552631676197052 0.26017212867736816 -0.0854158028960228 0.14136068522930145 0.002914365381002426
