CN100000	一种服务器备用电源及服务器电源
CN100001	一种基于多维度生理信息的心脏健康监护系统
CN100002	一种消除直流失调电压全差分运算放大器电路
CN100003	引脚编码模式选择系统
CN100004	立式磨专用齿轮油、加工方法和装置
CN100005	一种备电保护的控制方法、系统及相关组件
CN100006	基于运算放大器的低噪声精密放大电路及其性能改进方法
CN100007	一种基于ECG信号的睡眠自动分期方法
CN100008	单端转差分放大器和射频接收机
CN100009	润滑油基础油、含有该润滑油基础油的润滑油组合物和使用了该润滑油组合物的无级变速器
CN100010	配合二氟甲烷制冷剂使用的冷冻机油组合物及其应用
CN100011	一种可控增益带通滤波放大电路及自动增益控制方法
CN100012	超宽带低噪声放大器
CN100013	D类功率放大器电路
CN100014	粘度指数改进剂组合物和润滑油组合物
CN100015	一种心电图的诊断结论自动诊断方法及系统
CN100016	基于形态学滤波和小波阈值的心电异常判别系统及方法
CN100017	安全控制器
CN100018	基于图卷积神经网络和迭代阈值收缩算法的心脏跨膜电位重建方法
CN100019	一种分类方法、系统、电子设备及存储介质
CN100020	一种降低计算机主板待机功耗的控制方法、电路及其系统
CN100021	一种快速筛选具有临床诊断价值的心电图的方法与装置
CN100022	用于润滑脂和润滑剂应用的聚烯烃组合物
CN100023	一种用于心电数据分析的反混淆叠加方法及装置
CN100024	一种多车型通用无级变速箱油及其制备方法
CN100025	一种棒状阀杆密封剂组合物及其制备方法
CN100026	基于金字塔型卷积层的心电信号深度神经网络建模方法
CN100027	一种多视角转换的心电信号数据增强方法
CN100028	缺失导联的心电数据的分类处理方法、装置及存储介质
CN100029	皂氨酯润滑脂及其制备方法
CN100030	基于碳量子点的电流变材料的制备方法及电流变材料
CN100031	一种亲水型户外和潮湿地区离心泵专用油及其制备方法
CN100032	VPX供电设备
CN100033	一种新型金属切削液及其制备方法
CN100034	基于多尺度卷积和密集连接网络的心电信号质量评估方法
CN100035	融合深度和医学特征的基于序列标注的多导联心电信号分类方法
CN100036	UPS使用寿命的预测方法、设备及计算机可读存储介质
CN100037	心脏信号中噪声信号的检测
CN100038	一种低功耗超宽带低温低噪声放大器
CN100039	一种电源冷冗余配置方法及装置
CN100040	服务器进入功耗封顶后实现整机功耗回调的方法、系统
CN100041	一种频段可重构的宽带低噪声放大器
CN100042	一种信号采集系统
CN100043	一种服务器电源模块的均流方法、装置和系统
CN100044	节能型长寿命低灰分柴油机油组合物
CN100045	一种宽带放大电路
CN100046	基于新型生成对抗网络的心电信号增强方法
CN100047	聚亚烷基二醇润滑剂组合物
CN100048	使用酯基础油料提高传动系统和工业齿轮润滑流体液的粘度指数和效率
CN100049	一种具有可调装置的医用护膝带
CN100050	一种对心电信号数据进行颤动波识别的方法和装置
CN100051	处理心电信号的方法、心电信号监测设备和存储介质
CN100052	一种基于深度学习的心电信号分类方法、装置及存储介质
CN100053	一种用于大排量重型摩托车的润滑油及其制备方法
CN100054	一种公路车辆齿轮油及其制备方法
CN100055	一种大数据多中心联合控制系统
CN100056	一种基于CNN神经网络的急性心肌梗死定时期自动判别系统
CN100057	一种心电信号处理方法及装置
CN100058	润滑油基础油的制备方法
CN100059	一种冗余电源智能控制装置
CN100060	一种提高电源模块与主板兼容性的电路结构
CN100061	通用型节能环保重负荷润滑油及其制备方法
CN100062	一种用于润滑油的星形分散型黏度指数改进剂及其制备方法
CN100063	一种心电图识别方法、装置、存储介质及电子设备
CN100064	电源管理方法、电子设备、存储介质及系统
CN100065	一种氧化石墨烯水基纳米润滑剂及其制备方法
CN100066	一种基于导联分组的12导联心电信号多标签分类方法
CN100067	一种心电波形信号的波形识别方法、装置及设备
CN100068	一种统一存储系统的供电控制方法、装置、设备及介质
CN100069	一种星载甚低频前置放大器
CN100070	一种基于ResNet-50和迁移学习的心电信号质量分析方法及装置
CN100071	检测模型的训练装置、方法及心电数据处理方法、装置
CN100072	用于基于时间序列和心内及身体表面心电图（ECG）信号形态的心跳分类的装置和方法
CN100073	润滑油组合物
CN100074	一种适用于声波多普勒测量流速的处理电路
CN100075	一种BBU掉电保护实现方法及系统
CN100076	一种可生物降解环保型发动机润滑油及其制备方法
CN100077	低噪声放大电路以及低噪声放大器
